COR001;01;CORTAR              ;1FU8931000002  ;5286
COR001;01;CORTAR              ;1FU8931000004  ;5287
COR001;01;CORTAR              ;1FU8931000005  ;5288
COR001;01;CORTAR              ;1FU8931000040  ;5289
COR001;01;CORTAR              ;1FU8931000042  ;5290
COR001;01;CORTAR              ;1HADTAAA00A03  ;5302
BOR003;02;BORDAR              ;1HADTAAA00A03  ;5303
FUR001;03;FURAR               ;1HADTAAA00A03  ;5304
COR002;04;CORTAR              ;1HADTAAA00A03  ;5305
BOR001;05;BORDAR              ;1HADTAAA00A03  ;5306
COR001;01;CORTAR              ;1HADTAAA00A20  ;5307
BOR003;02;BORDAR              ;1HADTAAA00A20  ;5308
FUR001;03;FURAR               ;1HADTAAA00A20  ;5309
COR002;04;CORTAR              ;1HADTAAA00A20  ;5310
BOR001;05;BORDAR              ;1HADTAAA00A20  ;5311
COR001;01;CORTAR              ;1HADTAAA00A50  ;5312
BOR003;02;BORDAR              ;1HADTAAA00A50  ;5313
FUR001;03;FURAR               ;1HADTAAA00A50  ;5314
COR002;04;CORTAR              ;1HADTAAA00A50  ;5315
BOR001;05;BORDAR              ;1HADTAAA00A50  ;5316
COR001;01;CORTAR              ;1KBGHFFA00004  ;5317
BOR003;02;BORDAR              ;1KBGHFFA00004  ;5318
FUR001;03;FURAR               ;1KBGHFFA00004  ;5319
COR001;01;CORTAR              ;1KBGHFFA00005  ;5320
BOR003;02;BORDAR              ;1KBGHFFA00005  ;5321
BOR001;05;BORDAR              ;1FR5061800004  ;4421
COR001;01;CORTAR              ;1FR5061800005  ;4422
BOR003;02;BORDAR              ;1FR5061800005  ;4423
FUR001;03;FURAR               ;1FR5061800005  ;4424
COR002;04;CORTAR              ;1FR5061800005  ;4425
BOR001;05;BORDAR              ;1FR5061800005  ;4426
COR001;01;CORTAR              ;1FR5101800004  ;4427
BOR003;02;BORDAR              ;1FR5101800004  ;4428
FUR001;03;FURAR               ;1FR5101800004  ;4429
COR002;04;CORTAR              ;1FR5101800004  ;4430
BOR001;05;BORDAR              ;1FR5101800004  ;4431
COR001;01;CORTAR              ;1FR5101800005  ;4432
BOR003;02;BORDAR              ;1FR5101800005  ;4433
FUR001;03;FURAR               ;1FR5101800005  ;4434
COR002;04;CORTAR              ;1FR5101800005  ;4435
BOR001;05;BORDAR              ;1FR5101800005  ;4436
COR001;01;CORTAR              ;1FR5101800040  ;4437
BOR003;02;BORDAR              ;1FR5101800040  ;4438
FUR001;03;FURAR               ;1FR5101800040  ;4439
COR002;04;CORTAR              ;1FR5101800040  ;4440
BOR001;05;BORDAR              ;1FR5101800040  ;4441
COR001;01;CORTAR              ;1FR5101800042  ;4442
BOR003;02;BORDAR              ;1FR5101800042  ;4443
FUR001;03;FURAR               ;1FR5101800042  ;4444
COR002;04;CORTAR              ;1FR5101800042  ;4445
BOR001;05;BORDAR              ;1FR5101800042  ;4446
COR001;01;CORTAR              ;1FR5101800111  ;4447
BOR003;02;BORDAR              ;1FR5101800111  ;4448
FUR001;03;FURAR               ;1FR5101800111  ;4449
COR002;04;CORTAR              ;1FR5101800111  ;4450
BOR001;05;BORDAR              ;1FR5101800111  ;4451
COR001;01;CORTAR              ;1FR5241500004  ;4452
BOR003;02;BORDAR              ;1FR5241500004  ;4453
FUR001;03;FURAR               ;1FR5241500004  ;4454
COR002;04;CORTAR              ;1FR5241500004  ;4455
BOR001;05;BORDAR              ;1FR5241500004  ;4456
COR001;01;CORTAR              ;1FR5241500005  ;4457
BOR003;02;BORDAR              ;1FR5241500005  ;4458
FUR001;03;FURAR               ;1FR5241500005  ;4459
COR002;04;CORTAR              ;1FR5241500005  ;4460
BOR001;05;BORDAR              ;1FR5241500005  ;4461
COR001;01;CORTAR              ;1FR5241500040  ;4462
